situation,thought,reframe,thinking_traps_addressed
I got in a fight with my roommate over the bathroom,He's so damn inconsiderate,"My roommate may not have known that I needed to use the bathroom at the time. He probably would have given me the time to use the bathroom if I had known I needed to use it. Next time this happens, I should be transparent about my schedule.",labeling
I got in a fight with my roommate over the bathroom,He's so damn inconsiderate,My roommate was probably upset like I was. Maybe I was the one not being considerate in the moment. I should apologize to him.,labeling
I got into a minor car crash.,I messed up big time.,I only scratched the bumper. I can get that fixed easily.,catastrophizing
I got into a minor car crash.,I messed up big time.,I will drive more carefully next time.,none
I got upset at my boss for not putting me in a temporary promotion to act as supervisor of our team.,I wasn't valued as much as the other person.,I should ask my boss why I was not selected for the promotion. Maybe the reason will be something other than my work ethic. Maybe my boss will reassure that I am still valuable to the company.,personalizing
I got upset at my boss for not putting me in a temporary promotion to act as supervisor of our team.,I wasn't valued as much as the other person.,The promotion is temporary. Maybe my boss wants to promote me to a permanent position instead. I am still a good employee and maybe my promotion will come later.,personalizing
I got very upset last week when I realized that I had forgotten to fill out a required form and the date that the form was due had already passed.,they should have reminded me before I forgot,"I forgot the date, but now I know better for the future. I can complete forms right when I receive them, add the dates to my calendar, set reminders, or add them to my to-do list. Next time I will try these tactics.",should statements
I got very upset last week when I realized that I had forgotten to fill out a required form and the date that the form was due had already passed.,they should have reminded me before I forgot,"I should have remembered the date, but now I know that marking dates on my calender can help with this.",should statements
I had a breakup,I am the cause of the breakup,"I may have been the cause of the breakup, but my partner was",personalizing
I had a breakup,I am the cause of the breakup,I shouldn't blame only me for my breakup. We both were equal partners in our relationship,personalizing
I had a complaint against my work which I felt unnecessary to bring to my attention as it was very minor.,There was no need to even say anything it was very minor.,Complaints about my work do not mean that I'm a bad person or say anything about my character.,"magnification,negative feeling or emotion"
I had a complaint against my work which I felt unnecessary to bring to my attention as it was very minor.,There was no need to even say anything it was very minor.,"I want to look at some of the positive aspects of my work in addition to this minor complaint.  I know that I'm doing the best I can, which includes triumphs and mistakes.","magnification,negative feeling or emotion"
"I had a disagreement about our finances with my partner at our home about a week ago that caused her to leave the apartment and not talk, call, or text me for hours.",I worried that she might break up with me and that I'd never see her again.,"Disagreements are a natural part of relationships and I cannot control how my partner reacts. We will work this out together and if we cannot, we will both be okay.","catastrophizing,overgeneralizing,fortune telling,negative feeling or emotion,all-or-nothing thinking,mind reading"
"I had a disagreement about our finances with my partner at our home about a week ago that caused her to leave the apartment and not talk, call, or text me for hours.",I worried that she might break up with me and that I'd never see her again.,"My partner is upset and needed space after an argument, it is okay that we process things in different ways. I trust that we will try to resolve this once we have both calmed down","catastrophizing,overgeneralizing,fortune telling,negative feeling or emotion,all-or-nothing thinking,mind reading"
"I had a huge fight with my friend and I love her so much and I called her fat and ugly and I didn't mean to, is there a condition for something like this",I'm being mean to someone I love,"I made a mistake by calling my friend something mean, but that does not mean I'm a bad friend.",labeling
"I had a huge fight with my friend and I love her so much and I called her fat and ugly and I didn't mean to, is there a condition for something like this",I'm being mean to someone I love,I was angry and said something hurtful to my friend. I need to apologize to her.,negative feeling or emotion
I had an opportunity to get a large bonus at work but I did not do well on task so no bonus,I could have done so much better,I feel disappointed about my performance. I tried my best and will find a way to do better in the future.,"personalizing,all-or-nothing thinking"
I had an opportunity to get a large bonus at work but I did not do well on task so no bonus,I could have done so much better,I feel disappointed that I didn't get a bonus but I'm proud I tried my best and am grateful to have an opportunity to try again in the future.,"should statements,personalizing,all-or-nothing thinking"
"I had been working on a project at work for a very long time, but a higher up manager contacted my boss and asked about it, insinuating I wasn't delivering it fast enough.",I'm working on this as fast as I possibly can,I am stressed by trying to compare how fast I am working on this to how fast I think other people complete their assignments. I know I am being efficient with my time and producing good work. I need to focus on that to get this task done.,comparing and despairing
"I had been working on a project at work for a very long time, but a higher up manager contacted my boss and asked about it, insinuating I wasn't delivering it fast enough.",I'm working on this as fast as I possibly can,The manager may have reached out because he is interested in the work I am doing but does not understand how much time it takes to complete the work.,disqualifying the positive
I had dinner plans cancelled by my parents because I my mom was feeling under the weather.,I never get to see her anymore.,My parents love me and I value our relationship. I will continue to prioritize it in my calendar,disqualifying the positive
I had dinner plans cancelled by my parents because I my mom was feeling under the weather.,I never get to see her anymore.,I miss my mom and that is very sad. I will be diligent about rescheduling,negative feeling or emotion
"I had tentative plans to get together with friends last week, but they never got back to me.",they don't really like me,"My friends may have gotten busy and forgotten to solidify the plans. Next time, I should reach out to confirm the plans myself.",mind reading
"I had tentative plans to get together with friends last week, but they never got back to me.",they don't really like me,"My friends may have gotten busy, but that doesn't mean they would not have made time for me. I am sure if I had double-checked, they would have made time. This does not mean that they don't like me.","mind reading,all-or-nothing thinking"
I have a flight in the evening,Something will go wrong on my flight today,"Even if something goes wrong on the flight, it won't be catastrophic. Let's hope I arrive safely at my destination.",fortune telling
I have a flight in the evening,Something will go wrong on my flight today,My flight will be exciting and adventourous. I'm looking forward to see what transpires,fortune telling
"I have anxiety, depression, disordered eating, and when I asked if I have ptsd my therapist said I have (whatever). The longest job I had was five months, and majority of my jobs have been part time seasonal work. about as long as worked anywhere else too. I get bored, and my mental illnesses make it hard too.",I’ll never be able to hold a job.,"My mental illnesses make some things harder for me, but I will be able to find a job that is a good fit for me.",catastrophizing
"I have anxiety, depression, disordered eating, and when I asked if I have ptsd my therapist said I have (whatever). The longest job I had was five months, and majority of my jobs have been part time seasonal work. about as long as worked anywhere else too. I get bored, and my mental illnesses make it hard too.",I’ll never be able to hold a job.,"I'm going through a hard time right now, but that does not mean I won't be able to hold a job eventually.",fortune telling
"I have been studying for months for the real estate exam. When I went to take it, I did not pass by two points.","I really have to pass, I need to work.","I can retake the exam. I have prepared for it, and now I can be more prepared to take it in the future.",negative feeling or emotion
"I have been studying for months for the real estate exam. When I went to take it, I did not pass by two points.","I really have to pass, I need to work.","I will focus on preparing to retake this exam. Once I have passed it, I will be able to work.",negative feeling or emotion
"I have been trying to get a hold of a friend to help me with a project for over a week, but he won't return my calls or texts.",He is avoiding me,I only asked him a week ago and I know he has a lot going on. I should check back in with him next week to see if he has the time to help me out right now.,"mind reading,overgeneralizing,catastrophizing"
"I have been trying to get a hold of a friend to help me with a project for over a week, but he won't return my calls or texts.",He is avoiding me,My friend may be busy right now. I should try to ask another friend.,"mind reading,overgeneralizing,catastrophizing"
"I have depression and anxiety. The past 3 weeks have been especially tough depression wise, due to some out of our control stressors. spent a lot of time in bed while my kids were in school, just doing the bare minimum.  Meanwhile, my very supportive husband has been picking up my slack. I feel as though I nearly contribute to the household chores as much as I should, though I thank him constantly for his work.  Any words of wisdom or encouragement?",I feel like a bad wife and mom,I am doing my best given my current circumstances. That does not mean I'm a bad wife or mom.,"emotional reasoning,labeling"
"I have depression and anxiety. The past 3 weeks have been especially tough depression wise, due to some out of our control stressors. spent a lot of time in bed while my kids were in school, just doing the bare minimum.  Meanwhile, my very supportive husband has been picking up my slack. I feel as though I nearly contribute to the household chores as much as I should, though I thank him constantly for his work.  Any words of wisdom or encouragement?",I feel like a bad wife and mom,I am going through a difficult time right now. It is ok that I am not doing as much for the family as much as I'd like to.,"emotional reasoning,labeling"
I hurt my families feelings by canceling the trip they had planned to come to see me.,I should have made time for them.,I feel sad that I had to cancel this trip but I know my family loves me and will understand.,mind reading
I hurt my families feelings by canceling the trip they had planned to come to see me.,I should have made time for them.,I cancelled that trip because I had to. It hurts to have done so but it was the right thing.,should statements
I hurt my family members by telling them to postpone their long-planned trip to visit me because I was too busy,I am selfish,"I had to prioritize work this time but it doesn't mean I'm ""selfish"" as a whole",labeling
I hurt my family members by telling them to postpone their long-planned trip to visit me because I was too busy,I am selfish,"I may have come across as ""selfish"", but I didn't have a choice",labeling
I invited a co-worker out and they turn me down,They will never want to go out with me,"Just because one person turns me down, doesn't mean everyone will. I will keep trying and I will find someone who wants to go out with me",labeling
I invited a co-worker out and they turn me down,They will never want to go out with me,One person turned me down but many others want to go out with me,labeling
I invited a co-worker out and they turned me down,They will never want to go out with me,"I'm sure their response was not about me, this coworker must have other things going on.","catastrophizing,personalizing"
I invited a co-worker out and they turned me down,They will never want to go out with me,"The coworker must be busy, maybe they will accept my invitation next time.","fortune telling,overgeneralizing"
I just don't care about myself,Everyone is more important than me,Although I feel less important than others and dont care about myself I can name a few important and good qualities I do have,"comparing and despairing,disqualifying the positive"
I just don't care about myself,Everyone is more important than me,I feel depressed don’t care about myself and feel unimportant in life,"disqualifying the positive,negative feeling or emotion"
I just feel unmotivated,I just can't get moving,I am depressed maybe 🤔 I’ll talked to my Dr about it,negative feeling or emotion
I just feel unmotivated,I just can't get moving,Just because I feel unmotivated right now and can’t get moving doesn’t mean I’ll always feel this way,none
I just got fired from working as a sales person because I didn't reach my quota. I had never had a job like this before this.,I'm a failure and can't keep a sales person job.,I wonder if sales is the right job for me. I have a lot of skills to offer and will find the right job for me in the future.,"all-or-nothing thinking,labeling"
I just got fired from working as a sales person because I didn't reach my quota. I had never had a job like this before this.,I'm a failure and can't keep a sales person job.,I'm feeling hurt from losing that job. It's normal to doubt myself but I have had successes in the past and will again in the future.,"all-or-nothing thinking,labeling"
"I keep pushing myself towards new things. I keep working, studying, socializing, exercising. I'm doing far more thab anyonr I know and I still go to sleep every night, hoping I won't wake up.",I'm everything I can and I still feel like shit,"Though I generally feel bad, there are times that I feel joy, like when I exercise or hang out with friends.",disqualifying the positive
"I keep pushing myself towards new things. I keep working, studying, socializing, exercising. I'm doing far more thab anyonr I know and I still go to sleep every night, hoping I won't wake up.",I'm everything I can and I still feel like shit,"I am doing a lot of cool things and still feeling bad.  This is not normal, and I can reach out for help if I think that there's nothing else I can do.",overgeneralizing
I know why I am so angry all of the time. like I have this little monster in my head. It just makes me want to abandon everything and hide from everyone so I lash out anymore. I just hate my brain.,I am crazy.,"I am not crazy, but I have anger issues that I need to work on.",labeling
I know why I am so angry all of the time. like I have this little monster in my head. It just makes me want to abandon everything and hide from everyone so I lash out anymore. I just hate my brain.,I am crazy.,"I'm feeling really strong emotions. I'm not crazy, but maybe it's time to reach out for help.","labeling,negative feeling or emotion"
"I left a toxic job that abused me for 12 years. I thought I found a new job that was better, but realized they lied to me about the job and now I hate working here. I feel like I made a huge mistake.","I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it.",Just because I have had two negative situations related to employment doesn't mean it happens every time.  There are other areas of my life where I have had made positive changes and it has worked out great.,fortune telling
"I left a toxic job that abused me for 12 years. I thought I found a new job that was better, but realized they lied to me about the job and now I hate working here. I feel like I made a huge mistake.","I can never get a break. Every time I try to make a positive change in my life, something happens to ruin it.","I have received a number of breaks in life that greatly improved my current circumstances.  Using ""never"" is an extreme belief.",negative feeling or emotion
"I lost my best friend. I'm a male and she was the nicest girl I've ever met. But I fucked it. I started to take her for granted, started to overthink, to take everything too seriously, I was jealous, selfish and though only of my own interests and not of hers feelings",it's all my fault,"Though I messed up, I've learned a lot from myself and can improve this behavior.",all-or-nothing thinking
"I lost my best friend. I'm a male and she was the nicest girl I've ever met. But I fucked it. I started to take her for granted, started to overthink, to take everything too seriously, I was jealous, selfish and though only of my own interests and not of hers feelings",it's all my fault,I messed things up. I have some things I need to work on if I want to be in a relationship again.,personalizing
I lost my house,I want to die,I'm feeling sadness and despair right now. I think it would really be helpful to talk to someone who can help me get through this,negative feeling or emotion
I lost my house,I want to die,Life is throwing challenges at me. But this will only help me grow,negative feeling or emotion
I love two people at the same time,That I'm going to fail,It could all turn out much better than I expected.,catastrophizing
I love two people at the same time,That I'm going to fail,I don't really know whether or not I will fail.,fortune telling
I made a goal to quit smoking and failed,I keep failing at this,"I am putting effort into my health and it is okay that I slip up sometimes. I should not take that as a sign to stop trying, instead just a sign that this is a difficult thing to do!","overgeneralizing,fortune telling,all-or-nothing thinking,negative feeling or emotion,labeling,should statements,catastrophizing,magnification"
I made a goal to quit smoking and failed,I keep failing at this,"Quitting smoking is incredibly difficult! It seems like the ways I am trying right now aren't working, where can I seek support around this?","overgeneralizing,fortune telling,all-or-nothing thinking,negative feeling or emotion,labeling,should statements,catastrophizing,magnification"
"I made a joke that fell flat in front of someone I just met, and that person left the room.",People will never perceive me as acting naturally in social situations.,This one experience does not define how people will perceive me in other social situations.,"fortune telling,overgeneralizing"
"I made a joke that fell flat in front of someone I just met, and that person left the room.",People will never perceive me as acting naturally in social situations.,"We may not have the same sense of humor, but that doesn't mean how I act in social situations is unnatural.","fortune telling,overgeneralizing"
I made a mistake with an expensive reagent at work and ruined my experiment.,I'm mad at myself for being careless,"I made a mistake, and mistakes happen to everyone. That doesn't mean I am being careless.","emotional reasoning,labeling,negative feeling or emotion"
I made a mistake with an expensive reagent at work and ruined my experiment.,I'm mad at myself for being careless,"This mistake doesn't define me or my behavior, I will be more careful next time.","emotional reasoning,labeling,negative feeling or emotion"
I made very good English presentation but I got nervous because of the amount of people and I forgot my text,I'm scared to present in front of other people and I panic,"Although I got nervous today and forgot part of my presentation, I actually made a very good presentation overall.  It is natural to be nervous when presenting in front of other people.  The more I do it the less anxious I will feel.",disqualifying the positive
I made very good English presentation but I got nervous because of the amount of people and I forgot my text,I'm scared to present in front of other people and I panic,I am allowing one bad experience to cloud my judgement on my ability to present in front of other people.  Just because I panicked today doesn't mean I will have that reaction every time.,"negative feeling or emotion,emotional reasoning"
I missed a personal deadline for a project a friend asked me to help with.,I made a deadline and missed it.,how can i make it up to my friend?,negative feeling or emotion
I missed a personal deadline for a project a friend asked me to help with.,I made a deadline and missed it.,it's disappointing when i miss deadlines. it has been a busy week. i am going to prioritize the project now.,negative feeling or emotion
I mixed up the addresses on two packages and sent them to the wrong place,I screwed up again at work,"While I made a mistake here, I prepared the packages and completed the rest of the task well. I can attempt to fix this mistake.","negative feeling or emotion,all-or-nothing thinking"
I mixed up the addresses on two packages and sent them to the wrong place,I screwed up again at work,"I made a mistake, and it happens to everyone. I should not be too hard on myself.","negative feeling or emotion,overgeneralizing"
I posted a new piece of artwork online and people started comparing it with artwork created by others,I shouldn't have posted it,I am proud to have posted my work,personalizing
I posted a new piece of artwork online and people started comparing it with artwork created by others,I shouldn't have posted it,I can still be proud of my work. It is totally up to me whether I should post it or not,personalizing
I put in a lot of time on an Mturk task and was rejected on an attention request. I suggested a better way of handling these errors (automatic ejection) to the researcher and their answer showed they didn't understand my point.,I didn't explain this right.,Maybe the researcher doesnt understand Mturk that well. I should try to explain it differently.,overgeneralizing
I put in a lot of time on an Mturk task and was rejected on an attention request. I suggested a better way of handling these errors (automatic ejection) to the researcher and their answer showed they didn't understand my point.,I didn't explain this right.,"Maybe I did explain it right, but the researcher isn't familiar with Mturk. I should try to explain it another way or show him as  I am explaining.",personalizing
I received a rejection email from a position I applied to.,I will never get a job.,"I haven't had other job interviews yet, so I do not know what will happen following them.",fortune telling
I received a rejection email from a position I applied to.,I will never get a job.,Just because I didn't receive an offer for this job doesn't mean I won't receive a job offer somewhere else in the future.,"fortune telling,overgeneralizing"
I received a subpar quiz score in a class.,"I should have studied harder, or more efficiently.",i will study harder and more efficiently next time,"should statements,negative feeling or emotion"
I received a subpar quiz score in a class.,"I should have studied harder, or more efficiently.",that was a hard test. i'll study more efficiently next time.,"should statements,negative feeling or emotion"
I recently discovered a music artist that I very much enjoy. When I showed it to a close friend they had a very negative reaction and asked me how I could enjoy this type of music. I ended up getting quite angry with them and told them they had bad taste in music.,I felt that my personal self was under attack - and I needed to retaliate by denying their attack.,"I was offended by their comment because I like this artist so much. I let my anger get to me, and I said something mean in return. It is okay if we have different music tastes. I can ask him to be nicer to me next time.",emotional reasoning
I recently discovered a music artist that I very much enjoy. When I showed it to a close friend they had a very negative reaction and asked me how I could enjoy this type of music. I ended up getting quite angry with them and told them they had bad taste in music.,I felt that my personal self was under attack - and I needed to retaliate by denying their attack.,"I got offended by my friend's comment because I felt like they were attacking me. Just because my friend doesn't like the same music as me, doesn't mean that I should take it so personal. Next time, I will try to remember that the comment is not about me.",personalizing
I run a business with my close friend and we were taking work-related photos at their house. I took the memory card home but lost it while I was walking.,My friend is going to be angry with me,"I made a mistake, and I will try to find it before I assume what will happen.",mind reading
I run a business with my close friend and we were taking work-related photos at their house. I took the memory card home but lost it while I was walking.,My friend is going to be angry with me,"I do not know how my friend will react, and I should not assume.","mind reading,negative feeling or emotion"
I saw a profile picture of a close friend on a dating app that I had feelings for.,I am not the kind of person that she would like to go out with.,I don't know what she is looking for in a potential partner. I should like her on the app and see what happens.,"mind reading,all-or-nothing thinking"
I saw a profile picture of a close friend on a dating app that I had feelings for.,I am not the kind of person that she would like to go out with.,I am assuming that there is nothing about me that would be attractive to her. There are many different parts of what make me who I am.  Everyone has strengths and weaknesses - I am not the only person with some faults.,"mind reading,comparing and despairing,all-or-nothing thinking"
I saw my best friend kissing with my long time crush,No one cares about me,Seeing my best friend kiss my crush was very hard for me to forget.  There will be other crushes in my life and other people who care about me.  I know my family and other friends care about me.,negative feeling or emotion
I saw my best friend kissing with my long time crush,No one cares about me,There are a lot of people in my life who care about me.  My best friend may not be trustworthy but that doesn't mean he/she doesn't care about me.,overgeneralizing
I saw my friend comment on an Instagram post when he's been ignoring me.,My friend doesn't like me anymore.,He probably is just not as active on social media right now.,mind reading
I saw my friend comment on an Instagram post when he's been ignoring me.,My friend doesn't like me anymore.,He is probably just commenting on things on his feed and it is not about me specifically.,personalizing
I sent a message to my friend and they did not reply,It must be my fault,I did my part by sending the message. It is now up to them to reply. It would be their fault if they do not,personalizing
I sent a message to my friend and they did not reply,It must be my fault,I think I'm wrongly assuming that I'm responsible for my friend not replying. There could be many reasons they didn't reply that are unrelated to me,personalizing
"I showed a new game idea I have to some friends I have in a chat room we all have together, but only 2 of them responded.",My friends aren't interested in my game idea,"Maybe a group chat is not the best way to share something this important to me. I will try to connect to a couple of friends individually, buy them dinner, and ask for their feedback on my project.","mind reading,personalizing,negative feeling or emotion,fortune telling"
"I showed a new game idea I have to some friends I have in a chat room we all have together, but only 2 of them responded.",My friends aren't interested in my game idea,"Some of my friends have not responded to my idea, they must be busy or have other things going on. I will follow up with them after a couple days and share that their opinions are valuable to me.","mind reading,personalizing,negative feeling or emotion,fortune telling"
I talk to a close friend online every day because we live in different states. We share a lot about our lives and our messages are usually pretty long. My friend asked me to stop messaging for a while because they felt overwhelmed and wouldn't be able to respond but wanted to at a later time,I'm annoying and oversharing,my friend is feeling overwhelmed. i should respect their boundaries because that is what a good friend would do.,"labeling,overgeneralizing,negative feeling or emotion"
I talk to a close friend online every day because we live in different states. We share a lot about our lives and our messages are usually pretty long. My friend asked me to stop messaging for a while because they felt overwhelmed and wouldn't be able to respond but wanted to at a later time,I'm annoying and oversharing,i appreciate my friend telling me what they need. I will respect their boundaries.,overgeneralizing
I think that I am fatter that everyone else but i am not,I'm worthless,My self-worth does not depend on having a particular body type.,labeling
I think that I am fatter that everyone else but i am not,I'm worthless,I can accept myself regardless of how I look.,labeling
I thought that my sister had taken some money from my house when she'd come over to visit.,I cannot trust my sister anymore.,"I am not sure if my sister had taken money from me, I should not make any decisions before I know the truth. I will talk to my sister about this.","blaming,negative feeling or emotion,overgeneralizing"
I thought that my sister had taken some money from my house when she'd come over to visit.,I cannot trust my sister anymore.,"If my sister took some money, she probably had a good reason. I should talk to her before I come to a conclusion.","blaming,negative feeling or emotion,overgeneralizing"
I took part in a writing competition and I lost,I will never become a successful writer,"I don't know what the future will bring. If I continue working hard and persevering, it will only increase my chances of being a successful writer",fortune telling
I took part in a writing competition and I lost,I will never become a successful writer,"I may not become the most successful writer, but atleast I participated. Need to put in more work, I guess",fortune telling
I tried a new hair style but no one commented on it,I shouldn't have changed my hair,I changed my hair because I wanted and they look great,should statements
I tried a new hair style but no one commented on it,I shouldn't have changed my hair,"I could have kept the same hair, but I still wouldn't have drawn any attention",should statements
"I tried on my wedding dress in front of my family. My mother was excited and told me I was beautiful, but other members of my family made comments about my weight. I was told to not eat and exercise so I could be beautiful.",I'm a fat ugly troll.,I'm feeling hurt after that interaction. I want to feel good in the dress that I chose and will find a way to do so.,"labeling,comparing and despairing"
"I tried on my wedding dress in front of my family. My mother was excited and told me I was beautiful, but other members of my family made comments about my weight. I was told to not eat and exercise so I could be beautiful.",I'm a fat ugly troll.,The commend about my weight hurt and have me feeling self conscious. I'm glad my mother thinks I'm beautiful and know that my weight does not dictate my worth.,"labeling,disqualifying the positive,magnification"
I tried to advertise my business more but have gotten zero leads from it.,I am not good at what I do.,I am doing my best in a field I am unfamiliar with. I will try to learn and get better as I go!,"all-or-nothing thinking,labeling,overgeneralizing,negative feeling or emotion,mind reading,personalizing"
I tried to advertise my business more but have gotten zero leads from it.,I am not good at what I do.,"My advertising has not reached my ideal customers, I might need to try a different strategy. I wonder who could help me out with advertising?","all-or-nothing thinking,labeling,overgeneralizing,negative feeling or emotion,mind reading,personalizing"
I tried to make a business but I lose,I'll never be able to do anything,Just because I failed with this experience of starting a business doesn't mean I will fail at everything in life.  I am smart and a hard worker.  I will accomplish many things in my life.,all-or-nothing thinking
I tried to make a business but I lose,I'll never be able to do anything,"I can't predict the future.  I may not have been successful with the first business I tried, but that doesn't mean I'll never be successful at anything else.",fortune telling
I tried to make friends with people but they kept ignoring me.,I am not interesting,Other people may not be ignoring me because they don't find me interesting. They may just already be busy and have a lot of friends.,"labeling,negative feeling or emotion,all-or-nothing thinking,personalizing"
I tried to make friends with people but they kept ignoring me.,I am not interesting,It takes time to meet new people and to integrate into a new social group where everyone knows each other. I just need to keep trying my best and finding more outlets to interact with people with similar interests to me.,"negative feeling or emotion,all-or-nothing thinking,personalizing"
I try to talk to a stranger at a party and they seem disinterested and walk away from me,I'm boring,"I may be boring, but that's who I am",fortune telling
I try to talk to a stranger at a party and they seem disinterested and walk away from me,I'm boring,"One disinterested stranger does not necessarily make me ""boring"" as a person",fortune telling
I want to shoot myself,I have lost all hope,I feel overwhelmed by negative emotions. It's okay to feel these emotions and to reach out for support,negative feeling or emotion
I want to shoot myself,I have lost all hope,I'm experiencing a painful emotion and that's okay. Things are going to be alright,negative feeling or emotion
I was addicted to heroin.,I don't deserve to get better.,"I'm proud of myself for overcoming a heroin addiction. If I can do that, I can make other positive changes like finding a job.",disqualifying the positive
I was addicted to heroin.,I don't deserve to get better.,It's natural to feel discouraged about not having a job right now. But I can be proud of recovering from my heroin addiction.,disqualifying the positive
I was at my Moms house today and we were talking about my job. She was shocked that I had been there for 15 years. She felt that it wasn't a good enough job. We were talking in the living room. She gasped as if that was insane.,My job is worthless,My mom wouldn't want the job I have but it is not all bad.,all-or-nothing thinking
I was at my Moms house today and we were talking about my job. She was shocked that I had been there for 15 years. She felt that it wasn't a good enough job. We were talking in the living room. She gasped as if that was insane.,My job is worthless,My mom and I have different opinions about the pros and cons of this job.,disqualifying the positive
I was at work and sent info for an ad to our local newspaper. They called me later and said my boss had over-ridden everything and sent them new info.,He shouldn't assign me a task if he doesn't trust my work.,My boss's actions don't reflect what they think of my work. My boss made a decision based on different information.,negative feeling or emotion
I was at work and sent info for an ad to our local newspaper. They called me later and said my boss had over-ridden everything and sent them new info.,He shouldn't assign me a task if he doesn't trust my work.,"My boss wanted to provide different information, I did not know that beforehand. This is not a reflection of my work.","should statements,negative feeling or emotion"
I was called into a meeting with my boss where I was told that I wasn't meeting the standards at work.,I am not doing well enough to warrant working at this job.,"While it doesn't feel great to hear that I'm not meeting standards at work, this does not mean I don't deserve this job. I will work to meet my work's standards.",all-or-nothing thinking
I was called into a meeting with my boss where I was told that I wasn't meeting the standards at work.,I am not doing well enough to warrant working at this job.,I need to work harder to meet the standards but my boss was willing to talk with me about this because he is committed to my improvement,"all-or-nothing thinking,negative feeling or emotion"
I was driving home with my mother and we were talking about something. I said something stupid that didn't make sense and she called me out on it.,My opinions aren't valuable.,"My opinions have value, and this experience doesn't take away from that.","disqualifying the positive,all-or-nothing thinking,negative feeling or emotion"
I was driving home with my mother and we were talking about something. I said something stupid that didn't make sense and she called me out on it.,My opinions aren't valuable.,"While I shared my opinion, others are allowed to share theirs as well. This experience doesn't mean I should stop sharing my opinions.","labeling,all-or-nothing thinking,negative feeling or emotion"
"I was given a solo for the church play.  At practice when it came time for me to sing, my voice cracked and I lost the solo.",I can't sing.,"I have been singing a lot and was not taking enough time to rest and prepare, and as a result, I faced some consequences. In the future, I will try to take better care of my voice so I can do the things I love!","all-or-nothing thinking,negative feeling or emotion,fortune telling,overgeneralizing,labeling"
"I was given a solo for the church play.  At practice when it came time for me to sing, my voice cracked and I lost the solo.",I can't sing.,"I made a mistake at a crucial moment and faced some consequences. I know I'm a good singer, otherwise I wouldn't have gotten the solo at all. I will keep practicing and see if I can get some feedback from the director about how to improve for the next play.","all-or-nothing thinking,negative feeling or emotion,fortune telling,overgeneralizing,labeling"
I was given a wrong dosage of medication by my Doctor.  I couldn't figure out why I felt so bad until I went back to see him.,Medication can be dangerous.,Medications have side effects and that is why doctor has follow up appointments so I can have them adjusted to meet my needs,all-or-nothing thinking
I was given a wrong dosage of medication by my Doctor.  I couldn't figure out why I felt so bad until I went back to see him.,Medication can be dangerous.,It is okay to be scared of side effects and medications are helpful to me,"emotional reasoning,all-or-nothing thinking"
"I was greatly irritated, almost angry,  when a close friend reached out to me for assistance on taxes.  I usually do them, but I did not want to be bothered this year and felt almost used.",I feel my friend used me.,My friend may not know how busy I am and did not mean to make me feel used. I should just tell my friend that I cannot help with their taxes this year.,mind reading
"I was greatly irritated, almost angry,  when a close friend reached out to me for assistance on taxes.  I usually do them, but I did not want to be bothered this year and felt almost used.",I feel my friend used me.,Maybe my friend has been going through something or is busy and that is why they haven't reached out. I cant expect them to reach out to me if I am not doing the same.,personalizing
I was in my grandma's house and I knocked the vase on the floor,Grandma will be so angry at me,I am just making predictions. I have no way of telling what will happen or how my grandma will react. It is just a vase and she may not be bothered,fortune telling
I was in my grandma's house and I knocked the vase on the floor,Grandma will be so angry at me,My grandma loves me and she will never be angry with me.,fortune telling
I was looking forward to relaxing but my partner asked me to make dinner instead.,My partner thinks I am lazy.,"My partner asked me to make dinner, that does not mean I am lazy.",mind reading
I was looking forward to relaxing but my partner asked me to make dinner instead.,My partner thinks I am lazy.,"I know my partner doesn't think I am lazy, there is probably another reason they asked me to do this.","mind reading,personalizing"
I was not paying attention and scratched someone's car while driving,I am will have to pay for this,I might have overestimated my turn and must've accidentally scratched their car.,catastrophizing
I was not paying attention and scratched someone's car while driving,I am will have to pay for this,"I might have to pay some of the damages, but I have car insurance and the car insurance will help pay for some of the damages.",fortune telling
I was on a coffee break and my boss reminded me of work that needs to get done.,I could get fired.,My boss might be feeling anxious about this work. I can help out my boss and our organization by taking on this task.,all-or-nothing thinking
I was on a coffee break and my boss reminded me of work that needs to get done.,I could get fired.,I'm feeling anxious after my boss mentioned the work I needed to get done. I will work to calm myself and then apply myself to this work so that I can be confident in what I contribute to this job.,"catastrophizing,all-or-nothing thinking"
I was on a coffee break and my boss reminded me of work that needs to get done.,My boss must think I'm lazy.,I wonder what my boss thinks of me. I want to do my best at this job so they are satisfied.,mind reading
I was on a coffee break and my boss reminded me of work that needs to get done.,My boss must think I'm lazy.,Having my boss mention that work made me feel anxious and guilty. Those feeling may not necessarily be warranted and I will do my best at this job and to make them proud of my work.,"mind reading,personalizing"
I was on a date and started to cough badly as the food was too hot,I should have ordered a milder dish,"Coughing happens, I ordered the food I wanted and it tasts really nice",should statements
I was on a date and started to cough badly as the food was too hot,I should have ordered a milder dish,"I could have ordered something milder, but that might have resulted in a cough as well",should statements
I was on the phone with my boyfriend and he got a call on the other line. I assumed it was another girl calling him.,I am not good enough.,I am worthy of connection and conversation.,labeling
I was on the phone with my boyfriend and he got a call on the other line. I assumed it was another girl calling him.,I am not good enough.,The person on the phone is probably just a friend or someone from his family.,none
